iter	Passed	Remaining
0	653	64701
1	1422	69689
2	2333	75450
3	3254	78097
4	4083	77578
5	4825	75601
6	5591	74292
7	6486	74592
8	7184	72641
9	7933	71397
10	8607	69640
11	9296	68176
12	10073	67413
13	11017	67677
14	11956	67755
15	13006	68284
16	14147	69072
17	15227	69370
18	16416	69986
19	17538	70152
20	18598	69966
21	19478	69061
22	20438	68425
23	21445	67912
24	22245	66737
25	23081	65694
26	23877	64557
27	24629	63333
28	25351	62066
29	26193	61117
30	27024	60151
31	27962	59421
32	28827	58529
33	29571	57403
34	30299	56270
35	31008	55125
36	31723	54015
37	32519	53058
38	33263	52027
39	34077	51116
40	34851	50151
41	35594	49154
42	36331	48160
43	37122	47247
44	37813	46215
45	38504	45201
46	39189	44192
47	39956	43285
48	40703	42365
49	41418	41418
50	42205	40550
51	42917	39616
52	43533	38605
53	44188	37642
54	44855	36700
55	45465	35722
56	46056	34744
57	46739	33845
58	47389	32931
59	47981	31987
60	48610	31079
61	49243	30181
62	49848	29276
63	50452	28379
64	51093	27512
65	51834	26702
66	51884	25554
67	52475	24694
68	53082	23848
69	53730	23027
70	54404	22221
71	55100	21427
72	55721	20609
73	56384	19810
74	57004	19001
75	57626	18197
76	58452	17459
77	59106	16671
78	59716	15874
79	60359	15089
80	61061	14323
81	61762	13557
82	62461	12793
83	63357	12068
84	64203	11330
85	64948	10572
86	65783	9829
87	66732	9099
88	67543	8348
89	68369	7596
90	69049	6829
91	69737	6064
92	70427	5301
93	71140	4540
94	72071	3793
95	73016	3042
96	73781	2281
97	74505	1520
98	75319	760
99	76159	0
